nn_name,depth,pic_size,r_fps,r_image_proc_time,r_cpu_load,r_temp,r_ram,m_fps,m_image_proc_time,m_cpu_load,m_temp,m_ram
mobilenet_v1_0.25_128,0.25,128,14.0,0.06,0.37,69.0,208.0,25,0.013,0.13,65.0,299.0
mobilenet_v1_0.25_160,0.25,160,12.0,0.08,0.4,,,24,0.015,0.18,,
mobilenet_v1_0.25_192,0.25,192,9.0,0.1,0.43,,,22,0.02,0.2,,
mobilenet_v1_0.25_224,0.25,224,8.0,0.11,0.51,,,20,0.03,0.25,,
mobilenet_v1_0.5_128,0.5,128,9.0,0.1,0.44,,,22,0.015,0.17,,
mobilenet_v1_0.5_160,0.5,160,7.8,0.12,0.52,,,22,0.025,0.2,,
mobilenet_v1_0.5_192,0.5,192,6.5,0.16,0.56,,,21,0.03,0.25,,
mobilenet_v1_0.5_224,0.5,224,5.3,0.18,0.65,,,20,0.04,0.26,,
mobilenet_v1_0.75_128,0.75,128,7.0,0.15,0.53,,,19,0.02,0.19,,
mobilenet_v1_0.75_160,0.75,160,5.4,0.18,0.58,,,18,0.03,0.2,,
mobilenet_v1_0.75_192,0.75,192,4.4,0.22,0.68,,,17,0.035,0.21,,
mobilenet_v1_0.75_224,0.75,224,3.4,0.29,0.67,,,17,0.045,0.23,,
mobilenet_v1_1.0_128,1.0,128,5.0,0.2,0.57,,,18,0.025,0.19,,
mobilenet_v1_1.0_160,1.0,160,3.8,0.25,0.66,,,16,0.034,0.2,,
mobilenet_v1_1.0_192,1.0,192,3.0,0.32,0.68,,,16,0.043,0.21,,
mobilenet_v1_1.0_224,1.0,224,2.6,0.38,0.77,83.0,280.0,15,0.06,0.21,65.0,197.0
